folder_name,flaky_passes,flaky_failures,flaky_errors,flaky_total,fixed_passes,fixed_failures,fixed_errors,fixed_total,flaky_has_failures
BOOKKEEPER-709,2,0,0,2,2,0,0,2,false
mercury-journalYamlTest,3,7,,10,10,,,10,true
